event_id,prediction,anomaly_score,threat_type,threat_level,confidence_score,reasons
EVT00001,Normal,-0.0013675788863853,Brute Force,Normal,26,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00002,Suspicious,0.0094354902303577,Phishing,Critical Threat,55,"[""Critical asset vulnerability present (CVSS 9.4)"", ""Activity occurred outside standard operational hours (00:00)"", ""Isolation Forest flagged event as anomalous (score: 0.009435)""]"
EVT00003,Normal,-0.0052289684969746,Unauthorized File Access,Normal,37,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00004,Suspicious,0.000612228242158,Port Scan,High Threat,50,"[""Activity occurred outside standard operational hours (00:00)"", ""Isolation Forest flagged event as anomalous (score: 0.000612)""]"
EVT00005,Suspicious,0.0192947976655166,Phishing,High Threat,50,"[""Activity occurred outside standard operational hours (00:00)"", ""Isolation Forest flagged event as anomalous (score: 0.019295)""]"
EVT00006,Normal,-0.0031474115402509,Brute Force,Medium Threat,47,"[""Excessive failed login attempts (20 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (00:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00007,Suspicious,0.0097585358810692,Malware,Critical Threat,76,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 7.8)"", ""Activity occurred outside standard operational hours (00:00)"", ""Isolation Forest flagged event as anomalous (score: 0.009759)""]"
EVT00008,Normal,-0.0033490657715603,Port Scan,Normal,29,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00009,Suspicious,0.0160592991592585,USB / Removable Media,High Threat,51,"[""High asset vulnerability present (CVSS 8.7)"", ""Activity occurred outside standard operational hours (00:00)"", ""Isolation Forest flagged event as anomalous (score: 0.016059)""]"
EVT00010,Normal,-0.0469302025571465,Privilege Escalation,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00011,Suspicious,1.887925441035332e-05,USB / Removable Media,High Threat,50,"[""High asset vulnerability present (CVSS 8.2)"", ""Activity occurred outside standard operational hours (00:00)"", ""Isolation Forest flagged event as anomalous (score: 0.000019)""]"
EVT00012,Normal,-0.0040228158553126,Brute Force,Low Threat,36,"[""Elevated failed login attempts (7 attempts)"", ""Activity occurred outside standard operational hours (00:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00013,Normal,-0.042517124613187,Unauthorized File Access,Normal,26,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00014,Normal,-0.0314754695771698,Brute Force,Low Threat,31,"[""Elevated failed login attempts (6 attempts)"", ""Activity occurred outside standard operational hours (01:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
