event_id,failed_login_attempts,raw_cvss_score,severity_score,login_hour,events_per_user_1h,login_frequency_1h,unique_destinations_24h,malware_detected,after_hours_activity,vulnerability_present,protocol_HTTP,protocol_HTTPS,protocol_SMB,protocol_SSH,protocol_TCP,event_type_Brute Force,event_type_Failed Login,event_type_File Access,event_type_Login Success,event_type_Malware Detection,event_type_Phishing Email,event_type_Port Scan,event_type_Privilege Escalation,event_type_Sql Injection Attempt,event_type_Usb Device Connected,event_status_Blocked,event_status_Detected,event_status_Failed,event_status_Success
EVT00001,0.001389678252892188,-1.6186664460163434,1.4550418273701822,-1.5877539867387354,-1.5068575230486998,0.10947155477532397,-3.6614463782325952,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EVT00002,-0.5346290764341026,1.549538458657943,-1.3723154478363608,-1.5877539867387354,-1.5068575230486998,-0.985243992977916,-3.6614463782325952,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EVT00003,-0.5346290764341026,1.5843538971708473,-1.3723154478363608,-1.5877539867387354,-1.5068575230486998,-0.985243992977916,-3.6614463782325952,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EVT00004,-0.5346290764341026,-0.7482804831937373,-1.3723154478363608,-1.5877539867387354,-1.5068575230486998,-0.985243992977916,-3.6614463782325952,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
EVT00005,-0.5346290764341026,-0.19123346698726917,-1.3723154478363608,-1.5877539867387354,-1.5068575230486998,-0.985243992977916,-3.6614463782325952,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EVT00006,3.038829288145863,-1.1312503068356838,1.4550418273701822,-1.5877539867387354,-0.7542649754661083,0.10947155477532397,-3.577329985578785,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EVT00007,-0.5346290764341026,0.9924914424514749,1.4550418273701822,-1.5877539867387354,-1.5068575230486998,-0.985243992977916,-3.6614463782325952,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
EVT00008,-0.5346290764341026,-0.29567978252598215,-1.3723154478363608,-1.5877539867387354,-0.7542649754661083,-0.985243992977916,-3.577329985578785,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EVT00009,-0.5346290764341026,1.305830389067613,-1.3723154478363608,-1.5877539867387354,-0.0016724278835167973,0.10947155477532397,-3.4932135929249752,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
EVT00010,-0.5346290764341026,-0.15641802847436506,0.5125894023013345,-1.5877539867387354,-0.7542649754661083,-0.985243992977916,-3.577329985578785,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
EVT00011,-0.5346290764341026,1.1317531965030918,-1.3723154478363608,-1.5877539867387354,-0.0016724278835167973,-0.985243992977916,-3.4932135929249752,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
EVT00012,0.7160813511688852,-0.3653106595517906,-0.4298630227675131,-1.5877539867387354,-0.7542649754661083,1.204187102528564,-3.577329985578785,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EVT00013,-0.5346290764341026,0.8532296883998581,-1.3723154478363608,-1.4452266988806801,0.7509201196990747,0.10947155477532397,-3.409097200271165,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EVT00014,0.537408432939887,-1.3749583764260136,0.5125894023013345,-1.4452266988806801,0.7509201196990747,0.10947155477532397,-3.409097200271165,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EVT00015,-0.5346290764341026,-1.166065745348588,-1.3723154478363608,-1.4452266988806801,0.7509201196990747,0.10947155477532397,-3.324980807617355,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
EVT00016,-0.5346290764341026,0.8184142498869538,0.5125894023013345,-1.4452266988806801,-0.7542649754661083,-0.985243992977916,-3.577329985578785,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
